Region,Resource,Zone,Cluster,AnnualSum
None,nse1_heating_sanitary_load_DE,11,1,3.2665413619723298e7
None,nse2_heating_sanitary_load_DE,11,1,7.015560508184633e6
None,nse3_heating_sanitary_load_DE,11,1,0.0
None,nse0_EV_load_DE,11,1,0.0
None,nse1_EV_load_DE,11,1,0.0
None,nse2_EV_load_DE,11,1,0.0
None,nse3_EV_load_DE,11,1,0.0
None,nse0_residential_tertiary_load_DE,11,1,5.049858714748092e8
None,nse1_residential_tertiary_load_DE,11,1,4.000712092234414e8
None,nse2_residential_tertiary_load_DE,11,1,8.10165210144377e7
None,nse3_residential_tertiary_load_DE,11,1,0.0
None,nse0_electrolyser_load_DE,11,1,3.088681124782663e7
None,nse1_electrolyser_load_DE,11,1,2.982640273298055e7
None,nse2_electrolyser_load_DE,11,1,2.9635195948411774e7
None,nse3_electrolyser_load_DE,11,1,2.9449133661765713e7
None,nse0_industry_load_DE,11,1,9.204143246283817e8
None,nse1_industry_load_DE,11,1,7.349368577551806e8
None,nse2_industry_load_DE,11,1,1.5392306093956423e8
None,nse3_industry_load_DE,11,1,0.0
None,nse0_losses_load_DE,11,1,0.0
None,nse1_losses_load_DE,11,1,0.0
None,nse2_losses_load_DE,11,1,0.0
None,nse3_losses_load_DE,11,1,0.0
None,nse0_baseload_PL,12,1,1.7015608390865082e8
None,nse1_baseload_PL,12,1,0.0
None,nse2_baseload_PL,12,1,0.0
None,nse3_baseload_PL,12,1,0.0
None,nse0_baseload_BT,13,1,5.2633277392249815e7
None,nse1_baseload_BT,13,1,3.457464549791694e7
None,nse2_baseload_BT,13,1,3.420436590809362e7
None,nse3_baseload_BT,13,1,3.304364637867151e7
None,nse0_baseload_UK,14,1,4.362355313151151e8
None,nse1_baseload_UK,14,1,0.0
None,nse2_baseload_UK,14,1,0.0
None,nse3_baseload_UK,14,1,0.0
None,nse0_baseload_FR,15,1,6.032475217072359e8
None,nse1_baseload_FR,15,1,1.552888926290683e8
None,nse2_baseload_FR,15,1,3.874980447856748e7
None,nse3_baseload_FR,15,1,0.0
None,nse0_baseload_ES,16,1,6.294582599527666e7
None,nse1_baseload_ES,16,1,4.98163178649154e6
None,nse2_baseload_ES,16,1,0.0
None,nse3_baseload_ES,16,1,0.0
None,nse0_baseload_NL,17,1,2.402830054027832e8
None,nse1_baseload_NL,17,1,0.0
None,nse2_baseload_NL,17,1,0.0
None,nse3_baseload_NL,17,1,0.0
None,heating_space_flexload_SE1,1,1,1.5449234055447798e7
None,heating_space_flexload_SE2,2,1,2.903017117982263e7
None,heating_space_flexload_SE3,3,1,1.4476192758173206e8
None,heating_space_flexload_SE4,4,1,4.183919276583837e7
None,heating_sanitary_flexload_SE1,1,1,1.1105546917999838e7
None,heating_sanitary_flexload_SE2,2,1,2.2887566651907973e7
None,heating_sanitary_flexload_SE3,3,1,1.4594710976702875e8
None,heating_sanitary_flexload_SE4,4,1,4.913299435497602e7
None,EV_flexload_SE1,1,1,0.0
None,EV_flexload_SE2,2,1,0.0
None,EV_flexload_SE3,3,1,0.0
None,EV_flexload_SE4,4,1,0.0
None,residential_tertiary_flexload_SE1,1,1,0.0
