Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
nuclear_existing_FR,15,61370.0,0.0,0.0,61370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_FR,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_FR,15,4985.489234,0.0,0.0,4985.489234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_FR,15,76.93035224,0.0,0.0,76.93035224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_FR,15,16564.51445,0.0,0.0,16564.51445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_FR,15,1012.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_FR,15,39988.0,0.0,0.0,39988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_FR,15,216.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_FR,15,61784.0,0.0,0.0,61784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_FR,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_FR,15,135786.802,0.0,0.0,135786.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_pumped_FR,15,3800.0,0.0,0.0,3800.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
battery_FR,15,32300.0,0.0,0.0,32300.0,129200.0,0.0,0.0,129200.0,0.0,0.0,0.0,0.0
coal_hard_ES,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_ES,16,16180.44781,0.0,0.0,16180.44781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_ES,16,38.64063871,0.0,0.0,38.64063871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_ES,16,2660.909488,0.0,0.0,2660.909488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
